id,trial,sex,result,how,ed,Worktime Frames,wt,wt1,wtlog,lf,latency,latlog,tbm,tbmlog,lat1
ILO,1,M,1,Lever,3,-2921,97.36666667,97366.66667,4.988410302,-128,4266.666667,3.630088715,,,142.2222222
ILO,2,M,1,Lid,1,-1982.5,66.08333333,66083.33333,4.820091941,,,,84448,4.926589369,142.2222222
ILO,3,M,1,Lid,1,-1793,59.76666667,59766.66667,4.776459035,,,,87207,4.940551347,142.2222222
ILO,4,M,1,Lid,1,-1362.5,45.41666667,45416.66667,4.657215256,,,,256502,5.409090756,142.2222222
ILO,5,M,1,Lid,1,-561.5,18.71666667,18716.66667,4.272228506,,,,86622,4.937628207,142.2222222
DON,1,F,1,Lid,2,-2852.5,95.08333333,95083.33333,4.978104398,-81,2700,3.431363764,,,90
DON,2,F,1,Lid,1,-802.5,26.75,26750,4.427323786,,,,173198,5.238542873,90
DON,3,F,1,Lid,1,-770.5,25.68333333,25683.33333,4.409651388,,,,79601,4.900918524,90
DON,4,F,1,Lid,2,-883.5,29.45,29450,4.469085299,,,,93123,4.969056959,90
DON,5,F,1,Lid,1,-128.5,4.283333333,4283.333333,3.631781873,,,,85040,4.929623252,90
BRU,1,M,1,Lid,1,-790.5,26.35,26350,4.42078062,-168.5,5616.666667,3.74947865,,,187.2222222
BRU,2,M,1,Lid,1,-860,28.66666667,28666.66667,4.457377197,,,,83008,4.91911995,187.2222222
BRU,3,M,1,Lid,1,-440,14.66666667,14666.66667,4.166331422,,,,83619,4.92230497,187.2222222
BRU,4,M,1,Lid,1,-737.5,24.58333333,24583.33333,4.39064077,,,,432170,5.635654616,187.2222222
BRU,5,M,1,Lid,1,-304,10.13333333,10133.33333,4.005752329,,,,86892,4.938979794,187.2222222
BEA,1,F,0,Unsolved,3,-3117.5,103.9166667,103916.6667,5.016685207,,,,,,
BEA,2,F,1,String,3,-1481,49.36666667,49366.66667,4.693433804,,,,520570,5.716479136,
BEA,3,F,1,Lid,1,-2492,83.06666667,83066.66667,4.919426783,,,,347910,5.541466912,
BEA,4,F,1,Lid,1,-448,14.93333333,14933.33333,4.174156759,,,,172723,5.237350173,
BEA,5,F,1,Lid,2,-412.5,13.75,13750,4.138302698,,,,256201,5.408580821,
BLA,1,M,1,String,3,-1629,54.3,54300,4.73479983,-283.5,9450,3.975431809,,,315
BLA,2,M,1,Lid,2,-2892,96.4,96400,4.984077034,,,,356386,5.551920635,315
BLA,3,M,1,Lid,1,-659.5,21.98333333,21983.33333,4.342093545,,,,462071,5.664708713,315
BLA,4,M,1,Lid,3,-1123,37.43333333,37433.33333,4.573258502,,,,84255,4.925595683,315
BLA,5,M,1,Lid,1,-980,32.66666667,32666.66667,4.514104821,,,,83653,4.92248152,315
BER,1,F,1,String,3,-1576,52.53333333,52533.33333,4.720434958,-257.5,8583.333333,3.933655979,,,286.1111111
BER,2,F,1,String,1,-1017.5,33.91666667,33916.66667,4.530413163,,,,88480,4.946845114,286.1111111
BER,3,F,1,Lid,2,-578,19.26666667,19266.66667,4.284806584,,,,688495,5.837900791,286.1111111
BER,4,F,1,Lid,1,-543,18.1,18100,4.257678575,,,,87990,4.944433318,286.1111111
BER,5,F,1,Lid,1,-143,4.766666667,4766.666667,3.678214783,,,,84810,4.928447063,286.1111111
SCR,1,F,1,Lid,2,-2199,73.3,73300,4.865103975,-193,6433.333333,3.808436054,,,214.4444444
SCR,2,F,1,String,3,-1557.5,51.91666667,51916.66667,4.715306801,,,,87506,4.942037832,214.4444444
SCR,3,F,1,String,3,-787.5,26.25,26250,4.419129308,,,,85043,4.929638572,214.4444444
SCR,4,F,1,Lever,3,-2537.5,84.58333333,84583.33333,4.927284796,,,,135925,5.133299342,214.4444444
SCR,5,F,1,Lid,2,-1061.5,35.38333333,35383.33333,4.548798744,,,,86883,4.938934808,214.4444444
EMI,1,M,0,Unsolved,3,-3320.5,110.6833333,110683.3333,5.04408223,-711,23700,4.374748346,,,790
EMI,2,M,0,Unsolved,0,-580,19.33333333,19333.33333,4.286306739,,,,,,790
EMI,3,M,0,Unsolved,1,-533.5,17.78333333,17783.33333,4.250013169,,,,,,790
EMI,4,M,0,Unsolved,0,-115,3.833333333,3833.333333,3.583576586,,,,437905,5.641379904,790
EMI,5,M,0,Unsolved,0,-260,8.666666667,8666.666667,3.937852093,,,,261744,5.417876735,790
GAR,1,F,0,Unsolved,0,-722,24.06666667,24066.66667,4.381415943,-162.5,5416.666667,3.733732111,,,180.5555556
GAR,2,F,1,Lid,2,-2432.5,81.08333333,81083.33333,4.908931594,,,,85021,4.929526209,180.5555556
GAR,3,F,1,Lid,1,-1391.5,46.38333333,46383.33333,4.666361956,,,,345781,5.538801126,180.5555556
GAR,4,F,1,Lid,1,-1194,39.8,39800,4.599883072,,,,260812,5.416327569,180.5555556
GAR,5,F,1,Lid,1,-440,14.66666667,14666.66667,4.166331422,,,,88633,4.947595449,180.5555556
EDE,1,F,0,Unsolved,1,-1271,42.36666667,42366.66667,4.627024296,-412,13733.33333,4.137775961,,,457.7777777
EDE,2,F,0,Unsolved,1,-378.5,12.61666667,12616.66667,4.100944629,,,,344436,5.537108537,457.7777777
EDE,3,F,0,Unsolved,0,-284.5,9.483333333,9483.333333,3.976961016,,,,260296,5.415467494,457.7777777
EDE,4,F,0,Unsolved,0,-124.5,4.15,4150,3.618048097,,,,177229,5.248534787,457.7777777
EDE,5,F,0,Unsolved,1,-322,10.73333333,10733.33333,4.030734617,,,,95627,4.980580531,457.7777777
CYL,1,M,0,Unsolved,2,423,14.1,,,,5569,,,,185.6333333
CYL,2,M,0,Unsolved,1,419,13.96666667,,,,,,,,185.6333333
CYL,3,M,1,Lid,1,287,9.566666667,,,,,,,,185.6333333
CYL,4,M,0,Unsolved,1,799,26.63333333,,,,,,,,185.6333333
CYL,5,M,1,Lid,1,2614,87.13333333,,,,,,,,185.6333333
GAT,1,Unk,0,Unsolved,0,169,5.633333333,,,,3376,,,,112.5333333
GAT,2,Unk,0,Unsolved,1,875,29.16666667,,,,,,,,112.5333333
GAT,3,Unk,1,Lid,2,2861,95.36666667,,,,,,,,112.5333333
GAT,4,Unk,0,Unsolved,1,718,23.93333333,,,,,,,,112.5333333
GAT,5,Unk,0,Unsolved,1,654,21.8,,,,,,,,112.5333333
